x_m	y_m
0.0	1.8121726818316208
0.819495103299181	1.367726402738975
1.638990206598362	2.0550564842644636
2.4584853098975428	2.4001289414184517
3.277980413196724	3.9587211005273875
4.097475516495905	2.936585112061584
4.9169706197950855	5.493030658514809
5.736465723094267	4.745224783132028
6.555960826393448	5.762484380049304
7.375455929692628	5.927349383991392
8.19495103299181	7.204091421230092
9.01444613629099	5.835903120204452
9.833941239590171	7.069634036460364
10.653436342889352	7.3756177659149165
11.472931446188534	8.443265110467017
12.292426549487715	7.60710334296062
13.111921652786895	8.323436601428924
13.931416756086076	8.19525636609813
14.750911859385257	8.851760459539447
15.570406962684439	9.290462345430566
16.38990206598362	8.589079443625364
17.2093971692828	9.824018322078965
18.02889227258198	9.78665240365106
18.848387375881163	9.643237930269263
19.667882479180342	9.870485594182368
20.487377582479525	9.078193689962998
21.306872685778703	9.330545648059003
22.126367789077886	8.867972326225129
22.945862892377068	9.11771242734615
23.765357995676247	9.404566765600919
24.58485309897543	8.65322436271
25.40434820227461	8.632276822753663
26.22384330557379	8.290599224999015
27.043338408872973	7.987047884454785
27.862833512172152	7.821425911199236
28.682328615471334	7.870048089839853
29.501823718770513	7.008989768931492
30.321318822069696	7.348050487375666
31.140813925368878	7.695874563508221
31.960309028668057	6.844059532996276
32.77980413196724	5.956116795549296
33.59929923526642	5.159150349978342
34.4187943385656	4.752249086704171
35.23828944186478	5.466852076920456
36.05778454516396	4.112758337889747
36.877279648463144	3.2075194625803825
37.69677475176233	3.0320709948302786
38.5162698550615	3.369269928635624
39.335764958360684	1.733684085804838
40.15526006165987	1.3086015548537238
